step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.2981168615818024,0.4374646147092183,0.73796875,0.94140625,0.6127609786391258,0.8558719207843145,0.573125,0.859375,0.5098481217212975,0.855013703306516,0.48733327340101823,0.8323143720626831,0.5098481217212975,0.855013703306516,0.4696364418277517,0.8232083717981974
2,0.4606251709163189,0.3428451791405678,0.949375,0.9622395833333334,0.8426941698789596,0.8851317316293716,0.84453125,0.8815104166666666,0.799503647685051,0.8947204450766245,0.7980313462018966,0.8662053893009821,0.799503647685051,0.8947204450766245,0.7809314596652984,0.864021490017573
3,0.29774542182683944,0.15832840589185557,0.97078125,0.9895833333333334,0.8720622134208679,0.9387612541516622,0.89921875,0.9453125,0.8640523135662079,0.9434786389271418,0.8666564816236496,0.9474811951319376,0.8640523135662079,0.9434786389271418,0.8513832294940948,0.9366914679606756
4,0.2382344266027212,0.16001297673210502,0.97859375,0.9908854166666666,0.8860470366477966,0.9100885689258575,0.925,0.9557291666666666,0.902034564614296,0.946103885769844,0.8994804245233535,0.9487189849217733,0.902034564614296,0.946103885769844,0.8897485077381134,0.9413159092267355
5,0.24412635959684847,0.12843506534894308,0.97828125,0.9908854166666666,0.8894487941265106,0.912914569179217,0.925,0.9635416666666666,0.8998025172948837,0.9478729913632075,0.8980403566360473,0.9409935375054678,0.8998025172948837,0.9478729913632075,0.886972364783287,0.9391886542240778
6,0.17529665440320968,0.14099577814340591,0.98546875,0.9869791666666666,0.8950921648740768,0.9113238652547201,0.9409375,0.953125,0.9118958234786987,0.9404496053854624,0.9138930773735047,0.9421424070994059,0.9118958234786987,0.9404496053854624,0.903700875043869,0.9355902224779129
7,0.12297160912305116,0.11517881198475759,0.9890625,0.9908854166666666,0.8992812043428421,0.9214421759049097,0.9590625,0.9674479166666666,0.9370456260442733,0.9599229494730631,0.9376957088708877,0.9602358589569727,0.9370456260442733,0.9599229494730631,0.9310346633195877,0.9556215703487396
8,0.13861921640112995,0.306155522664388,0.9884375,0.9713541666666666,0.8920148420333862,0.8774734288454056,0.95546875,0.90234375,0.9380903601646423,0.8813206354777018,0.940512297153473,0.8800497154394785,0.9380903601646423,0.8813206354777018,0.9317529445886612,0.8666976739962896
9,0.15820281336084008,0.10182979066545765,0.986875,0.99609375,0.9001723772287369,0.9368846615155538,0.945625,0.9609375,0.9311936008930206,0.9497159868478775,0.9339586478471756,0.9526492605606715,0.9311936008930206,0.9497159868478775,0.9249154019355774,0.943960244456927
10,0.1054027825500816,0.08706223995735247,0.99203125,0.9973958333333334,0.9138471913337708,0.9190588196118673,0.96640625,0.96484375,0.9535195243358612,0.950720821817716,0.9560085201263427,0.9547063857316971,0.9535195243358612,0.950720821817716,0.949974273443222,0.9496504167715708
11,0.13175736871547997,0.11820295080542564,0.9903125,0.9921875,0.9004906326532364,0.899339626232783,0.96,0.9557291666666666,0.9477582627534866,0.9369651476542155,0.9481840503215789,0.9366981983184814,0.9477582627534866,0.9369651476542155,0.941578106880188,0.9299806356430054
12,0.09546102811582387,0.16365965952475867,0.99453125,0.9934895833333334,0.9032774484157562,0.942746713757515,0.96828125,0.9453125,0.9563374048471451,0.9583258132139841,0.9559288114309311,0.9398604581753413,0.9563374048471451,0.9583258132139841,0.9512832152843476,0.9405629535516103
13,0.14910347938537596,0.14083917190631232,0.9896875,0.9895833333333334,0.9112779664993286,0.9107068131367365,0.95,0.9557291666666666,0.9297929829359055,0.9387357781330744,0.9317171496152877,0.9361055841048559,0.9297929829359055,0.9387357781330744,0.9232284903526307,0.9329818536837896
14,0.09447135557420552,0.08429886261001229,0.9934375,0.9973958333333334,0.8982800912857055,0.9296004772186279,0.9678125,0.9713541666666666,0.9552181541919709,0.9747522175312042,0.9566532754898072,0.9732364267110825,0.9552181541919709,0.9747522175312042,0.9511633795499802,0.9710218956073126
15,0.06593400966841728,0.12238151859492064,0.99578125,0.9895833333333334,0.8984643304347992,0.8974089473485947,0.97734375,0.9609375,0.9658904981613159,0.9331144044796625,0.9695960992574691,0.9254735360542933,0.9658904981613159,0.9331144044796625,0.9632474035024643,0.9211346904436747
16,0.07980147860944271,0.09030552251109232,0.99484375,0.9947916666666666,0.8932703191041946,0.9158548067013422,0.97078125,0.9661458333333334,0.9567152070999145,0.9460465063651403,0.9585255163908005,0.954520175854365,0.9567152070999145,0.9460465063651403,0.9527866810560226,0.9447366098562876
17,0.09841481209732592,0.06320205579201381,0.99421875,0.9947916666666666,0.8998049926757813,0.9222861627737681,0.96671875,0.97265625,0.9558472430706024,0.9630624651908875,0.9553478783369065,0.9595727076133093,0.9558472430706024,0.9630624651908875,0.9503406721353531,0.9562801917394003
18,0.08127789455582388,0.052958482158525534,0.99640625,0.99609375,0.9071714544296264,0.9255344619353613,0.9703125,0.9765625,0.9557213062047958,0.971084346373876,0.9581868922710419,0.9770983358224233,0.9557213062047958,0.971084346373876,0.9517806553840638,0.969598134358724
